gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,Pathway,avg_control,avg_condition
Lysine,-0.7560396095364439,-37.005705003773706,-5.20151776590678,3.474707207465338e-4,0.03578948423689298,0.49999456460080083,Amino Acids,9.587910561560881e-12,5.631763537736374e-12
N-Acetyl-Aspartate,-1.4517132566934166,-33.884870199250784,-3.988395824030619,0.0023541310538616545,0.08965687678566657,-1.386883727533263,Other,1.0989696440857959e-10,4.219417481813656e-11
Dihydroxyacetone Phosphate,2.4984447744280516,-42.54544160459343,3.9260102998116566,0.0026113653432718415,0.08965687678566657,-1.4892001441675404,Glycolysis/PPP,9.095506380948766e-14,4.567044553363006e-13
3-Phosphoglycerate,3.5872608934181116,-38.07097745760355,3.507857822693144,0.0052924947203281504,0.11577760255256737,-2.1846940539194053,Glycolysis/PPP,2.944171942313781e-12,1.670872315331029e-11
Arginine,-0.6117047098508337,-36.60294204650124,-3.367476860224817,0.00673507512338382,0.11577760255256737,-2.4211055076013004,Urea Cycle,1.216747153743707e-11,7.865743733243237e-12
Pyridoxal,1.7644438982359532,-36.212343944969305,3.3666801872815366,0.006744326362285478,0.11577760255256737,-2.4224500442774763,Px(P),8.903120616816646e-12,2.540152304607911e-11
Cytidine,1.2804464927845771,-39.26095226711331,3.2646999905258807,0.008043073989602743,0.11834808870415464,-2.5947672738997736,Pyrimidine,1.1165888192415526e-12,2.496454035432868e-12
Aspartate,-1.262903635762953,-33.16900598451973,-3.1237619852234477,0.010271338746517724,0.12588227535105836,-2.833361867249788,Amino Acids,1.7476662632478578e-10,7.550570599521981e-11
Thymidine Monophosphate,1.9531366752311143,-45.421685523343946,3.0844087562138442,0.010999422118053643,0.12588227535105836,-2.900018882168059,Pyrimidine,1.566020762326978e-14,4.5076140726452677e-14
Kyneurine,1.0420442461430852,-42.16501412182575,2.74506901552383,0.01989705671525634,0.2049396841671403,-3.473236482440014,Organic Acids,1.5680915461975864e-13,3.1329679673353834e-13
Histidine,-0.5558505047687987,-37.21320580448704,-2.568997615596789,0.027068042415036395,0.2534553062498862,-3.767624322809583,Amino Acids,7.744918634655384e-12,5.3907264880714065e-12
Phosphoserine,-0.7241932195667644,-37.44925943771254,-2.5150121734932966,0.029741596372715076,0.2552820355324711,-3.8571649485051043,Organic Acids,7.181568361453922e-12,4.371043151703689e-12
Phosphocholine,-0.730818742264006,-34.45327867430293,-2.4569357471402515,0.032908213447185135,0.2607343065430822,-3.9530211835144144,Phospholipid,5.684295695615693e-11,3.546296222627131e-11
Glycolate,1.3990376636467303,-45.95708639223674,2.3444125022344533,0.0400103594970508,0.28796012209232796,-4.137131837764167,Organic Acids,1.1340276055571478e-14,3.082233160663594e-14
Glycerol-3-Phosphate,1.1328070513961706,-46.616299692377424,2.317260697904674,0.0419359401105332,0.28796012209232796,-4.181198417271916,Other,7.349596485687364e-15,1.534255713613624e-14
Creatine,-0.9125901618961407,-40.5149679495818,-2.1990412626593714,0.051416175764501075,0.328555633028703,-4.371182471868562,Other,9.686841381218074e-13,5.07802412300528e-13
Adenylosuccinate,-1.7650832657555213,-37.26115663891537,-2.1428539376204254,0.05661380341138028,0.328555633028703,-4.460285456219856,Purine,1.512221990113632e-11,4.99323779069524e-12
Threonine,-0.4605717036199479,-34.87503611490433,-2.134609058928105,0.05741748926715198,0.328555633028703,-4.473289660572547,Amino Acids,3.865843730626356e-11,2.7603259553605942e-11
Pyruvate,0.8096008327284778,-38.112872972199675,2.0017834316143546,0.07195521271088742,0.37493112450755073,-4.6800547676057285,Glycolysis/PPP,2.709165460722779e-12,5.062379902269565e-12
Aminoadipate,-0.7228819309961878,-40.33256871938754,-1.9948504316346587,0.07280216009855353,0.37493112450755073,-4.690696197584074,Organic Acids,9.767671416607916e-13,6.16862728419934e-13
Alanine,-0.724172836754569,-37.2734002567167,-1.953594692994603,0.07803833050503768,0.37717969005178853,-4.753685153043794,Amino Acids,8.356247036662006e-12,5.056402655136536e-12
Sarcosine,-0.757893625875532,-37.491344555236026,-1.9346217183144612,0.08056265224407134,0.37717969005178853,-4.782455429109183,Methionine Cycle,7.314431475318836e-12,4.329796529285281e-12
Acetate,0.7559267237993481,-39.269175602894705,1.8897773410561614,0.08683413177686784,0.38886589447901687,-4.849940628286635,Organic Acids,1.2182908374589812e-12,2.318079194010502e-12
Pyridoxal 5-phospahte,-0.8078840954244129,-38.021325322614764,-1.7931629689697643,0.10190675738347703,0.4166462313034909,-4.992710067458602,Px(P),5.031476114502597e-12,3.3482697802114375e-12
Alpha-Aminobutyrate,-0.5523262029438172,-39.39032840320958,-1.7766756352422641,0.10470637385384576,0.4166462313034909,-5.016694163334082,Organic Acids,1.7701938787363348e-12,1.2154280225698888e-12
Uridine,1.3533197069367446,-48.84110552342307,1.7676502399676293,0.10626842459661824,0.4166462313034909,-5.02977440245963,Pyrimidine,2.605385529111973e-15,3.6353553013886224e-15
Fructose-6-Phosphate,1.0221455491862343,-39.63424129339802,1.7509321524140407,0.10921794412809954,0.4166462313034909,-5.053910490939465,Glycolysis/PPP,1.1766874270068975e-12,1.9248315785079143e-12
Pyridoxamine 5-phosphate,0.5747045343884452,-41.27084918049045,1.6882645245612344,0.12094515037968336,0.42913605047565617,-5.1432763997744715,Px(P),3.471643758613048e-13,4.827713299077941e-13
Cysteinesulfonic Acid,-0.5848719064053753,-44.54293183995304,-1.6795071053798454,0.1226711994600879,0.42913605047565617,-5.15562117070549,Organic Acids,4.9271168165083974e-14,3.543548013701841e-14
Asparagine,-0.45208046309983985,-41.34763391266291,-1.667909076417243,0.12499108266281249,0.42913605047565617,-5.171914454229837,Amino Acids,4.4372841028648095e-13,3.158800900901058e-13
Alpha-Ketoglutarate,0.855066022837832,-38.98913755327976,1.5781826289373735,0.14429974382906954,0.47944753594819883,-5.2957408000233235,TCA Cycle,1.5810441935660901e-12,3.087077720976669e-12
Serine,-0.2701304155108346,-39.58631955539515,-1.5570155331918913,0.14922163678816425,0.48030714341190367,-5.324355210296367,Amino Acids,1.3590694394202508e-12,1.1201910067331362e-12
S-Adenosyl-Methionine,-0.4351414957963158,-41.32062558405887,-1.5344652895947675,0.15462627427627285,0.4826214015289728,-5.354578109327793,Methionine Cycle,4.432515558386807e-13,3.2881868150221784e-13
Phosphoethanolamine,-0.6991351677217565,-36.70502826611156,-1.509342649577295,0.160847602218264,0.48727361848474093,-5.387924559860389,Phospholipid,1.279102407574519e-11,8.047746150545818e-12
Phenylalanine,0.3704478821101205,-39.420720580570546,1.401934857066844,0.18994178211374935,0.5589715302204624,-5.526460590538446,Amino Acids,1.2621531793805876e-12,1.601962500016176e-12
