pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,neg_log10_p
Glycolysis/PPP,0.005164793780342379,0.05865976750913603,0.40701791892395395,0.7738300256574228,1.7418286545261465,12,Dihydroxyacetone Phosphate;3-Phosphoglycerate;Pyruvate;Fructose-6-Phosphate;Glucose-6-Phosphate,Up,2.286947014289049
Amino Acids,0.009024579616790158,0.05865976750913603,0.3807304007227924,-0.7066358129355464,-1.6897131423955996,18,Lysine;Aspartate;Histidine;Threonine;Alanine;Asparagine;Serine;Proline;Valine;Tyrosine,Down,2.0445730192683427
Pyrimidine,0.09210526315789473,0.3991228070175438,0.21925034670375515,0.7478568789818937,1.4903102011034688,8,Cytidine;Thymidine Monophosphate;Uridine;Orotate;Cytosine Monophosphate,Up,1.0357155522665344
Urea Cycle,0.17043478260869566,0.5539130434782609,0.13880510939113969,-0.7131775794563169,-1.2724261139394661,6,Arginine,Down,0.7684417689971356
Methionine Cycle,0.26260869565217393,0.5835635359116023,0.10839425585339667,-0.6677888937285784,-1.1914452325138416,6,Sarcosine;S-Adenosyl-Methionine;Betaine;Methionine,Down,0.5806908973964611
Phospholipid,0.31123388581952116,0.5835635359116023,0.10135074379709887,-0.8217821782178217,-1.1259027267389605,2,Phosphocholine;Phosphoethanolamine,Down,0.5069131249751734
Px(P),0.35650224215246634,0.5835635359116023,0.10512513159700079,0.6446836822682412,1.1374596494660834,5,Pyridoxal;Pyridoxamine 5-phosphate,Up,0.44793773439169043
Ketone Bodies,0.35911602209944754,0.5835635359116023,0.09284812141598782,-0.8019801980185932,-1.0987725405508235,2,3-Hydroxybutyrate,Down,0.4447652182263289
TCA Cycle,0.4758771929824561,0.6488029465930019,0.08679497567717195,0.4909542846517226,0.9783612336199864,8,Alpha-Ketoglutarate;Fumarate;Succinate,Up,0.3225051088159055
Other,0.4990791896869245,0.6488029465930019,0.07492788183937392,-0.49364413022818404,-0.9727616113135851,9,N-Acetyl-Aspartate;Creatine;N-Acetyl-Glycine;Lactoyl-Glutathione;Guanidoacetate;GABA,Down,0.3018305387144412
Polyamine,0.7407407407407407,0.8656422379826635,0.06364240816510186,0.5234733877607685,0.7939934463253222,3,Spermine,Up,0.13033376849500614
Organic Acids,0.7990543735224587,0.8656422379826635,0.06392719333599958,0.31973037808587407,0.76793502349781,16,Kyneurine;Glycolate;Acetate,Up,0.09742366709738758
Purine,0.9175824175824175,0.9175824175824175,0.04558782025712307,-0.33388612005819207,-0.634870968723216,8,Adenylosuccinate,Down,0.037354916837491536
