Original_Symbol,SCENIC_DB_Symbol
AANATL7,CG13759
ATP6AP2,VhaM8.9
ATP8A,CG42321
Aasdh,U26
Acbp1,CG8498
Acbp2,Dbi
Acbp6,CG15829
Achl,CG17386
AdamTS-B,CG4096
Adck1,Adck
Adck5,CG7616
Aduk,CG8866
Ae2,CG8177
AgmNAT,CG15766
Agpat1,CG3812
Agpat2,fu12
Agpat3,CG4729
Agpat4,CG4753
Akr1B,CG6084
Aladin,CG16892
Ald1,Ald
Aldh7A1,CG9629
Alg1,CG18012
Alg11,CG11306
Alg14,CG6308
Alg3,l(2)not
Alg9,CG11851
Alp11,CG8105
Alp12,CG16771
Alp5,CG10827
Alp6,CG1809
Alp9,CG5150
Amacr,CG9319
Apl,CG32165
Argl,CG9510
Arl6IP1,CG10326
Arl8,Gie
BBS5,CG1126
BBS9,CG15666
BORCS5,CG11802
BORCS6,CG17180
Balat,CG3790
Bdp1,CG9305
BomBc1,IM23
BomBc3,CG5791
BomS1,IM1
BomS2,IM2
BomS3,IM3
BomS4,CG18107
BomS6,CG15068
BomT1,CG43202
BomT2,CG16836
BomT3,CG5778
Boot,CG13741
CAH13,CG12309
CAH14,CG15227
CAH3,CG11284
CAH7,CG3940
CAH8,CG5379
CAH9,caix
CARPA,CG1402
CARPB,CG32698
CCT1,Cct1
CCT2,Cct2
CCT3,Cctgamma
CCT4,CG5525
CCT5,Cct5
CCT6,Tcp-1zeta
CCT7,Tcp-1eta
CCT8,CG8258
CDC50,CG9947
CG43051,CR43051
CG43428,CR43428
CG44666,CR44666
CG45045,CR45045
CG45273,CR45273
CG46042,CR46042
CG46335,CR43476
CG46339,sda
CG46385,CG30497
CG5504,l(2)tid
CG7483,eIF4AIII
CNBP,CG3800
CNPYb,CG11577
CNT2,CG8083
CR11023,CG11023
CR14117,CG14117
CR14798,CG14798
CROT,CG12428
Ca-Ma2d,CG42817
Camp,CG6568
Cc2d2a,CG43370
Ccdc58,CG15881
Ccdc85,CG17265
Cdc45,CDC45L
Cds,CdsA
ChT,CG7708
Charon,CG5118
Chchd2,CG5010
Chchd3,l(3)03670
Chs2,CS-2
Cln3,cln3
Cln7,CG8596
ClpP,CG5045
Cluap1,CG17599
Cndp2,CG17337
Coa7,CG13865
Coa8,CG14806
Cog1,CG4848
Cog2,ldlCp
Cog4,CG7456
Cog6,CG1968
Cog8,CG6488
Coq3,CG9249
Coq5,CG2453
Coq6,CG7277
Coq7,COQ7
Coq8,CG32649
Coq9,CG30493
Cpes,CG4585
Cpsf5,CG3689
Cpsf6,CG7185
Cse1,Cas
CstF50,CstF-50
CstF64,CstF-64
CtIP,CG5872
Ctl1,CG1311
Ctl2,CG11880
Ctr9,CG2469
Cul6,CG11261
Cyp9f3,Cyp9f3Psi
DEF8,CG11534
DIP-kappa,CG31814
