manuscript_panel,measurement,unit,value,genotype_raw,rnai,screen_type,in_combined_screen,collection_date,replicate_id
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,8,Luciferase X mCherry,Control,control,TRUE,undated,b01
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,9,Luciferase X mCherry,Control,control,TRUE,undated,b01
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,12,Luciferase X mCherry,Control,control,TRUE,undated,b01
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase X mCherry,Control,control,TRUE,undated,b01
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,11,Luciferase X mCherry,Control,control,TRUE,undated,b01
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,10,Luciferase X mCherry,Control,control,TRUE,undated,b01
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,8,Luciferase X mCherry,Control,control,TRUE,undated,b02
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,9,Luciferase X mCherry,Control,control,TRUE,undated,b02
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,14,Luciferase X mCherry,Control,control,TRUE,undated,b02
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,10,Luciferase X mCherry,Control,control,TRUE,undated,b02
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,9,Luciferase X mCherry,Control,control,TRUE,undated,b02
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,8,Luciferase X mCherry,Control,control,TRUE,undated,b03
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,10,Luciferase X mCherry,Control,control,TRUE,undated,b03
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,9,Luciferase X mCherry,Control,control,TRUE,undated,b03
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,8,Luciferase X mCherry,Control,control,TRUE,undated,b03
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,11,Luciferase X mCherry,Control,control,TRUE,undated,b03
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,10,Luciferase X mCherry,Control,control,TRUE,undated,b04
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,8,Luciferase X mCherry,Control,control,TRUE,undated,b04
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase X mCherry,Control,control,TRUE,undated,b01
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,11,Luciferase X mCherry,Control,control,TRUE,undated,b01
Controls,EdU-positive cells per NSC clone,EdU+ cells per clone,9,Luciferase X mCherry,Control,control,TRUE,undated,b01
