manuscript_panel,measurement,unit,value,genotype_raw,rnai,panel_side,replicate_id
Fig_1B,Cells per NSC lineage,cells per NSC lineage,56,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,62,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,82,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,48,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,74,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,30,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,63,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,23,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,55,mCherry X TubFRTGFP,Control,left,b01
Fig_1B,Cells per NSC lineage,cells per NSC lineage,61,mCherry X TubFRTGFP,Control,left,b02
Fig_1B,Cells per NSC lineage,cells per NSC lineage,81,mCherry X TubFRTGFP,Control,left,b02
Fig_1B,Cells per NSC lineage,cells per NSC lineage,49,mCherry X TubFRTGFP,Control,left,b02
Fig_1B,Cells per NSC lineage,cells per NSC lineage,42,mCherry X TubFRTGFP,Control,left,b02
Fig_1B,Cells per NSC lineage,cells per NSC lineage,39,mCherry X TubFRTGFP,Control,left,b02
Fig_1B,Cells per NSC lineage,cells per NSC lineage,40,mCherry X TubFRTGFP,Control,left,b02
Fig_1B,Cells per NSC lineage,cells per NSC lineage,63,mCherry X TubFRTGFP,Control,left,b02
Fig_1B,Cells per NSC lineage,cells per NSC lineage,52,mCherry X TubFRTGFP,Control,left,b03
Fig_1B,Cells per NSC lineage,cells per NSC lineage,36,mCherry X TubFRTGFP,Control,left,b03
Fig_1B,Cells per NSC lineage,cells per NSC lineage,53,mCherry X TubFRTGFP,Control,left,b03
Fig_1B,Cells per NSC lineage,cells per NSC lineage,36,mCherry X TubFRTGFP,Control,left,b03
Fig_1B,Cells per NSC lineage,cells per NSC lineage,41,mCherry X TubFRTGFP,Control,left,b03
Fig_1B,Cells per NSC lineage,cells per NSC lineage,52,mCherry X TubFRTGFP,Control,left,b03
Fig_1B,Cells per NSC lineage,cells per NSC lineage,36,mCherry X TubFRTGFP,Control,left,b03
Fig_1B,Cells per NSC lineage,cells per NSC lineage,77,mCherry X TubFRTGFP,Control,left,b04
Fig_1B,Cells per NSC lineage,cells per NSC lineage,72,mCherry X TubFRTGFP,Control,left,b04
Fig_1B,Cells per NSC lineage,cells per NSC lineage,73,mCherry X TubFRTGFP,Control,left,b04
Fig_1B,Cells per NSC lineage,cells per NSC lineage,59,mCherry X TubFRTGFP,Control,left,b04
Fig_1B,Cells per NSC lineage,cells per NSC lineage,51,mCherry X TubFRTGFP,Control,left,b04
Fig_1B,Cells per NSC lineage,cells per NSC lineage,39,mCherry X TubFRTGFP,Control,left,b04
Fig_1B,Cells per NSC lineage,cells per NSC lineage,97,mCherry X TubFRTGFP,Control,left,b04
Fig_1B,Cells per NSC lineage,cells per NSC lineage,57,mCherry X TubFRTGFP,Control,left,b05
Fig_1B,Cells per NSC lineage,cells per NSC lineage,29,mCherry X TubFRTGFP,Control,left,b05
Fig_1B,Cells per NSC lineage,cells per NSC lineage,45,mCherry X TubFRTGFP,Control,left,b05
Fig_1B,Cells per NSC lineage,cells per NSC lineage,63,mCherry X TubFRTGFP,Control,left,b05
Fig_1B,Cells per NSC lineage,cells per NSC lineage,53,mCherry X TubFRTGFP,Control,left,b05
Fig_1B,Cells per NSC lineage,cells per NSC lineage,87,mCherry X TubFRTGFP,Control,left,b05
Fig_1B,Cells per NSC lineage,cells per NSC lineage,68,mCherry X TubFRTGFP,Control,left,b05
Fig_1B,Cells per NSC lineage,cells per NSC lineage,53,mCherry X TubFRTGFP,Control,left,b05
Fig_1B,Cells per NSC lineage,cells per NSC lineage,50,mCherry X TubFRTGFP,Control,left,b06
Fig_1B,Cells per NSC lineage,cells per NSC lineage,52,mCherry X TubFRTGFP,Control,left,b06
Fig_1B,Cells per NSC lineage,cells per NSC lineage,33,mCherry X TubFRTGFP,Control,left,b06
Fig_1B,Cells per NSC lineage,cells per NSC lineage,65,mCherry X TubFRTGFP,Control,left,b06
