manuscript_panel,measurement,unit,value,heteroplasmy_pct,heteroplasmy_fraction,d_mel,d_yak,genotype,brain_label
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,48.27586206896552,0.4827586206896552,14,15,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,55.55555555555556,0.5555555555555556,15,12,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,7,56.666666666666664,0.5666666666666667,17,13,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,7,49.09090909090909,0.4909090909090909,27,28,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,48.148148148148145,0.48148148148148145,13,14,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,57.14285714285714,0.5714285714285714,12,9,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,3,26.31578947368421,0.2631578947368421,5,14,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,46.42857142857143,0.4642857142857143,13,15,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,64.51612903225806,0.6451612903225806,20,11,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,57.692307692307686,0.5769230769230769,15,11,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,69.6969696969697,0.696969696969697,23,10,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,57.89473684210527,0.5789473684210527,22,16,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,59.25925925925925,0.5925925925925926,16,11,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,61.111111111111114,0.6111111111111112,11,7,(heteroplasmic; implicit),B1
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,50,0.5,10,10,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,55.55555555555556,0.5555555555555556,10,8,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,69.23076923076923,0.6923076923076923,9,4,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,42.857142857142854,0.42857142857142855,9,12,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,83.33333333333334,0.8333333333333335,5,1,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,44.44444444444444,0.4444444444444444,8,10,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,63.63636363636363,0.6363636363636364,14,8,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,45,0.45,18,22,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,60.86956521739131,0.6086956521739131,14,9,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,7,61.904761904761905,0.6190476190476191,13,8,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,45.83333333333333,0.45833333333333326,11,13,(heteroplasmic; implicit),B2
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,56.00000000000001,0.56,14,11,(heteroplasmic; implicit),B2
