manuscript_panel,measurement,unit,value,genotype_raw,mito_type,mtdna_background,replicate_id
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b01
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b02
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b03
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,5,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b04
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b05
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b06
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,5,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b07
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b08
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b09
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b10
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b10
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b10
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b10
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b10
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,5,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b10
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b10
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b10
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b11
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,5,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b11
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,9,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b11
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,5,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b11
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,8,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b11
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b11
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,5,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b11
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,5,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b11
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b12
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,7,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b12
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b12
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,6,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b12
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,4,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b12
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,8,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b12
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,9,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b12
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,8,TubFRT-UASMitoXho1 Het,MitoXho1,Heteroplasmic,b12
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,8,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b13
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,9,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b13
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,11,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b13
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,8,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b13
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,9,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b13
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,11,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b14
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,10,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b14
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,14,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b14
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,8,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b14
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,10,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b15
Fig_1P,EdU-positive cells per NSC clone,EdU+ cells per clone,9,TubFRT-UASMitoGFP Het,MitoGFP,Heteroplasmic,b15
