manuscript_panel,measurement,unit,value,genotype,rnai,rescue_transgene,dpn_positive,ph3_positive
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,28.90625,mCD8-GFP;mCherry RNAi,Control,GFP,128,37
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,20.895522,mCD8-GFP;mCherry RNAi,Control,GFP,134,28
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,20,mCD8-GFP;mCherry RNAi,Control,GFP,100,20
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,28.776978,mCD8-GFP;mCherry RNAi,Control,GFP,139,40
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,27.272727,mCD8-GFP;mCherry RNAi,Control,GFP,132,36
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,25.925926,mCD8-GFP;mCherry RNAi,Control,GFP,135,35
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,22.962963,mCD8-GFP;mCherry RNAi,Control,GFP,135,31
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,14.503817,mCD8-GFP;mCherry RNAi,Control,GFP,131,19
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,20.472441,mCD8-GFP;mCherry RNAi,Control,GFP,127,26
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,22.95082,mCD8-GFP;mCherry RNAi,Control,GFP,122,28
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,24.031008,UCP1;mCherry RNAi,Control,UCP1,129,31
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,23.015873,UCP1;mCherry RNAi,Control,UCP1,126,29
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,25.984252,UCP1;mCherry RNAi,Control,UCP1,127,33
Fig_3E,NSC mitotic index,% pH3+ Dpn+ / Dpn+,33.561644,UCP1;mCherry RNAi,Control,UCP1,146,49
