manuscript_panel,measurement,unit,value,genotype_raw,rnai,rescue_transgene,dpn_positive,ph3_positive
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,27.86885246,mCherry RNAi,Control,None,122,34
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,28.24427481,mCherry RNAi,Control,None,131,37
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,24.46808511,mCherry RNAi,Control,None,94,23
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,30.075187970000002,mCherry RNAi,Control,None,133,40
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,28.03030303,mCherry RNAi,Control,None,132,37
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,24.3902439,mCherry RNAi,Control,None,123,30
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,33.58208955,mCherry RNAi,Control,None,134,45
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,28.67647059,mCherry RNAi,Control,None,136,39
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,23.84615385,mCherry RNAi,Control,None,130,31
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,22.37762238,mCherry RNAi,Control,None,143,32
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,18.65671642,mCherry RNAi,Control,None,134,25
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,24.40944882,mCherry RNAi,Control,None,127,31
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,15,ND75 RNAi,Complex I,None,140,21
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,16.15385,ND75 RNAi,Complex I,None,130,21
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,11.62791,ND75 RNAi,Complex I,None,129,15
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,16.25,ND75 RNAi,Complex I,None,160,26
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,17.164180000000002,ND75 RNAi,Complex I,None,134,23
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,10.12658,ND75 RNAi,Complex I,None,158,16
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,13.04348,ND75 RNAi,Complex I,None,138,18
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,15,ND75 RNAi,Complex I,None,120,18
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,16.4473684,ND75 RNAi,Complex I,None,152,25
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,15.7894737,ND75 RNAi,Complex I,None,133,21
Fig_3G,NSC mitotic index,% pH3+ Dpn+ / Dpn+,13.740458,ND75 RNAi,Complex I,None,131,18
