manuscript_panel,measurement,unit,value,genotype,glial_gene,replicate_id
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase,control,b01
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase,control,b01
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,3,Luciferase,control,b01
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase,control,b01
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase,control,b01
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,10,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,9,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,9,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,5,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,8,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,Luciferase,control,b02
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,Luciferase,control,b03
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,Luciferase,control,b03
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,5,inx2,inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,5,inx2,inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,inx2,inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,5,inx2,inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,5,inx2,inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,3,inx2,inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,4,inx2,inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,4,inx2,inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,4,inx2,inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,inx2,inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,8,inx2 (not clones),inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,inx2 (not clones),inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,inx2 (not clones),inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,8,inx2 (not clones),inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,9,inx2 (not clones),inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,inx2 (not clones),inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,inx2 (not clones),inx2,b05
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,5,inx2 (not clones),inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,inx2 (not clones),inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,5,inx2 (not clones),inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,inx2 (not clones),inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,7,inx2 (not clones),inx2,b04
Fig_4C,EdU-positive cells per NSC clone,EdU+ cells per clone,6,inx2 (not clones),inx2,b04
