manuscript_panel,measurement,unit,value,genotype_raw,rnai,panel_side,replicate_id
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,mCherry XTubFRTGFP,Control,left,b01
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,13,mCherry XTubFRTGFP,Control,left,b01
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry XTubFRTGFP,Control,left,b01
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,15,mCherry XTubFRTGFP,Control,left,b01
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,mCherry XTubFRTGFP,Control,left,b01
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,mCherry XTubFRTGFP,Control,left,b01
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,15,mCherry XTubFRTGFP,Control,left,b02
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,9,mCherry XTubFRTGFP,Control,left,b02
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,16,mCherry XTubFRTGFP,Control,left,b02
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,16,mCherry XTubFRTGFP,Control,left,b02
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,13,mCherry XTubFRTGFP,Control,left,b02
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry XTubFRTGFP,Control,left,b03
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,11,mCherry XTubFRTGFP,Control,left,b03
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,mCherry XTubFRTGFP,Control,left,b03
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,9,mCherry XTubFRTGFP,Control,left,b03
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry XTubFRTGFP,Control,left,b03
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,8,mCherry XTubFRTGFP,Control,left,b03
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry XTubFRTGFP,Control,left,b03
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,14,mCherry XTubFRTGFP,Control,left,b04
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry XTubFRTGFP,Control,left,b04
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,11,mCherry XTubFRTGFP,Control,left,b04
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,15,mCherry XTubFRTGFP,Control,left,b04
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,14,mCherry XTubFRTGFP,Control,left,b04
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,19,mCherry XTubFRTGFP,Control,left,b04
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,mCherry XTubFRTGFP,Control,left,b05
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,9,mCherry XTubFRTGFP,Control,left,b05
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,14,mCherry XTubFRTGFP,Control,left,b05
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,13,mCherry XTubFRTGFP,Control,left,b05
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry XTubFRTGFP,Control,left,b05
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,5,ND75 X TubFRTGFP,Complex I,left,b06
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,5,ND75 X TubFRTGFP,Complex I,left,b06
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ND75 X TubFRTGFP,Complex I,left,b06
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,4,ND75 X TubFRTGFP,Complex I,left,b06
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ND75 X TubFRTGFP,Complex I,left,b06
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,4,ND75 X TubFRTGFP,Complex I,left,b06
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ND75 X TubFRTGFP,Complex I,left,b06
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,5,ND75 X TubFRTGFP,Complex I,left,b07
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,3,ND75 X TubFRTGFP,Complex I,left,b07
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ND75 X TubFRTGFP,Complex I,left,b07
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,8,ND75 X TubFRTGFP,Complex I,left,b07
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ND75 X TubFRTGFP,Complex I,left,b08
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,4,ND75 X TubFRTGFP,Complex I,left,b08
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,4,ND75 X TubFRTGFP,Complex I,left,b08
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,ND75 X TubFRTGFP,Complex I,left,b08
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,5,ND75 X TubFRTGFP,Complex I,left,b08
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,8,ND75 X TubFRTGFP,Complex I,left,b08
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ND75 X TubFRTGFP,Complex I,left,b08
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,4,ND75 X TubFRTGFP,Complex I,left,b09
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ND75 X TubFRTGFP,Complex I,left,b09
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,5,ND75 X TubFRTGFP,Complex I,left,b09
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,5,ND75 X TubFRTGFP,Complex I,left,b09
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ND75 X TubFRTGFP,Complex I,left,b09
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ND75 X TubFRTGFP,Complex I,left,b09
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ND75 X TubFRTGFP,Complex I,left,b10
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ND75 X TubFRTGFP,Complex I,left,b10
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ND75 X TubFRTGFP,Complex I,left,b10
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,4,ND75 X TubFRTGFP,Complex I,left,b10
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,3,ND75 X TubFRTGFP,Complex I,left,b10
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ATPsynO X TubFRTGFP,Complex V,left,b11
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,8,ATPsynO X TubFRTGFP,Complex V,left,b11
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ATPsynO X TubFRTGFP,Complex V,left,b11
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ATPsynO X TubFRTGFP,Complex V,left,b11
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ATPsynO X TubFRTGFP,Complex V,left,b11
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,4,ATPsynO X TubFRTGFP,Complex V,left,b11
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ATPsynO X TubFRTGFP,Complex V,left,b11
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ATPsynO X TubFRTGFP,Complex V,left,b12
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ATPsynO X TubFRTGFP,Complex V,left,b12
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ATPsynO X TubFRTGFP,Complex V,left,b12
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,8,ATPsynO X TubFRTGFP,Complex V,left,b13
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,5,ATPsynO X TubFRTGFP,Complex V,left,b13
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ATPsynO X TubFRTGFP,Complex V,left,b13
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,6,ATPsynO X TubFRTGFP,Complex V,left,b13
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,ATPsynO X TubFRTGFP,Complex V,left,b13
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,5,ATPsynO X TubFRTGFP,Complex V,left,b13
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,7,ATPsynO X TubFRTGFP,Complex V,left,b14
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,8,ATPsynO X TubFRTGFP,Complex V,left,b14
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,9,ATPsynO X TubFRTGFP,Complex V,left,b14
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry X AyGal4,Control,right,b15
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,mCherry X AyGal4,Control,right,b15
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,11,mCherry X AyGal4,Control,right,b15
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,14,mCherry X AyGal4,Control,right,b15
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry X AyGal4,Control,right,b15
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,13,mCherry X AyGal4,Control,right,b15
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,13,mCherry X AyGal4,Control,right,b15
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,8,mCherry X AyGal4,Control,right,b15
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,14,mCherry X AyGal4,Control,right,b16
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,14,mCherry X AyGal4,Control,right,b16
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,11,mCherry X AyGal4,Control,right,b16
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,mCherry X AyGal4,Control,right,b16
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,13,mCherry X AyGal4,Control,right,b16
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,12,mCherry X AyGal4,Control,right,b16
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,mCherry X AyGal4,Control,right,b16
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,16,mCherry X AyGal4,Control,right,b16
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,17,mCherry X AyGal4,Control,right,b17
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,17,mCherry X AyGal4,Control,right,b17
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,13,mCherry X AyGal4,Control,right,b17
Fig_S1I-J,EdU-positive cells per NSC clone,EdU+ cells per clone,10,mCherry X AyGal4,Control,right,b17
